Ṃ,Loai,Thuc te,Du doan,Chinh xac
C2016-22.csv,tat ca,4.67916666666667,8.131657468587306,26.215690787092406
C2016-22.csv,25,4.67916666666667,9.722697117256352,0
C2016-22.csv,1 -> 25,4.67916666666667,10.562189986950255,0
C2016-22.csv,50,4.67916666666667,7.831791805028729,32.6242178800629
C2016-22.csv,1 -> 50,4.67916666666667,10.142443552103304,0
-----,------,------,------,------
C2015-07.csv,tat ca,16.7125,15.778262235221952,94.40994605966763
C2015-07.csv,25,16.7125,14.869054778271327,88.96966209885612
C2015-07.csv,1 -> 25,16.7125,14.507716952196315,86.80758086579695
C2015-07.csv,50,16.7125,15.85079853411636,94.84397028641054
C2015-07.csv,1 -> 50,16.7125,14.296679931716245,85.5448313042109
-----,------,------,------,------
C2014-01.csv,tat ca,24.1458333333333,19.734841473261202,81.73187150272123
C2014-01.csv,25,24.1458333333333,20.747055235671546,85.9239561097701
C2014-01.csv,1 -> 25,24.1458333333333,15.80655117609822,65.46285215295215
C2014-01.csv,50,24.1458333333333,17.495622716405308,72.45814412316271
C2014-01.csv,1 -> 50,24.1458333333333,18.302758686087888,75.80089878621396
-----,------,------,------,------
C2016-28.csv,tat ca,3.6125,4.26251687548208,82.00645327385244
C2016-28.csv,25,3.6125,3.295032444168811,91.21197077283907
C2016-28.csv,1 -> 25,3.6125,6.6013491151366885,17.263692314555325
C2016-28.csv,50,3.6125,3.826594042182844,94.0735213236583
C2016-28.csv,1 -> 50,3.6125,4.94819077965275,63.02586077085813
-----,------,------,------,------
C2016-04.csv,tat ca,11.533333333334499,10.675464994350103,92.5618352111187
C2016-04.csv,25,11.533333333334499,9.677219463582006,83.90652714087597
C2016-04.csv,1 -> 25,11.533333333334499,9.942321253829832,86.20509757655053
C2016-04.csv,50,11.533333333334499,11.101626252326898,96.2568750201657
C2016-04.csv,1 -> 50,11.533333333334499,10.230615902714462,88.70476216225515
-----,------,------,------,------
C2011-07.csv,tat ca,20.75,20.560540601098147,99.08694265589469
C2011-07.csv,25,20.75,20.804919201422166,99.7353291497727
C2011-07.csv,1 -> 25,20.75,15.64641312045637,75.40440058051261
C2011-07.csv,50,20.75,25.607954680543884,76.58817021424635
C2011-07.csv,1 -> 50,20.75,19.73828904437565,95.12428455120796
-----,------,------,------,------
C2013-13.csv,tat ca,10.0791666666667,7.758742913885759,76.97801981531939
C2013-13.csv,25,10.0791666666667,7.924708096851603,78.62463593403797
C2013-13.csv,1 -> 25,10.0791666666667,8.15290819140879,80.8887129366723
C2013-13.csv,50,10.0791666666667,4.986972001416724,49.47801903017817
C2013-13.csv,1 -> 50,10.0791666666667,7.799238812979503,77.37979806180549
-----,------,------,------,------
C2016-03.csv,tat ca,10.733333333333302,8.239156848382159,76.76233088554828
C2016-03.csv,25,10.733333333333302,7.08813600528395,66.03853421072021
C2016-03.csv,1 -> 25,10.733333333333302,6.712291894686196,62.53688100639331
C2016-03.csv,50,10.733333333333302,8.48593359163505,79.06149308976778
C2016-03.csv,1 -> 50,10.733333333333302,7.290235178675732,67.92144576405981
-----,------,------,------,------
data_020.csv,tat ca,21.0667,19.93658413954921,94.63553446695121
data_020.csv,25,21.0667,20.401354500262272,96.84171939725857
data_020.csv,1 -> 25,21.0667,18.70186426849825,88.7745316945618
data_020.csv,50,21.0667,19.300047817332178,91.61400607276971
data_020.csv,1 -> 50,21.0667,19.399451496898983,92.08585823550429
-----,------,------,------,------
data_012.csv,tat ca,10.8667,11.166739794607414,97.23890606525059
data_012.csv,25,10.8667,10.63124646600642,97.83325633362861
data_012.csv,1 -> 25,10.8667,9.251903205215445,85.13995237942932
data_012.csv,50,10.8667,13.494985051058952,75.81340194300981
data_012.csv,1 -> 50,10.8667,11.234802339060405,96.61256555292402
-----,------,------,------,------
C2015-20.csv,tat ca,7.48611111111338,4.441143371587957,59.32510626238145
C2015-20.csv,25,7.48611111111338,4.428995824490787,59.16283847184416
C2015-20.csv,1 -> 25,7.48611111111338,1.0752653409934574,14.363470232190256
C2015-20.csv,50,7.48611111111338,5.30109600191852,70.81241412579179
C2015-20.csv,1 -> 50,7.48611111111338,2.7521305827421223,36.7631543520172
-----,------,------,------,------
data_017.csv,tat ca,7.0333,9.224850092073694,68.84037234194909
data_017.csv,25,7.0333,10.051145744983067,57.092037237384055
data_017.csv,1 -> 25,7.0333,10.281974503861896,53.810096201471616
data_017.csv,50,7.0333,9.574789298915586,63.86490980172057
data_017.csv,1 -> 50,7.0333,10.0902436643247,56.536140015004335
-----,------,------,------,------
C2014-02.csv,tat ca,6.8458333333333306,8.083381276906032,81.92261068426973
C2014-02.csv,25,6.8458333333333306,8.013520420185536,82.94309794007734
C2014-02.csv,1 -> 25,6.8458333333333306,7.051128924371407,97.00115996049065
C2014-02.csv,50,6.8458333333333306,10.200219532299514,51.00105369738988
C2014-02.csv,1 -> 50,6.8458333333333306,8.009207443811272,83.00609942089433
-----,------,------,------,------
C2016-20.csv,tat ca,4.2125,7.697350005633062,17.27359037072851
C2016-20.csv,25,4.2125,9.288979925866911,0
C2016-20.csv,1 -> 25,4.2125,9.689745564989533,0
C2016-20.csv,50,4.2125,7.858142821986544,13.45655021990403
C2016-20.csv,1 -> 50,4.2125,9.489362745428222,0
-----,------,------,------,------
C2016-18.csv,tat ca,4.21111111111337,7.755790202765179,15.825562467416432
C2016-18.csv,25,4.21111111111337,9.508706006244232,0
C2016-18.csv,1 -> 25,4.21111111111337,9.799461133710231,0
C2016-18.csv,50,4.21111111111337,7.763861566230744,15.63389420570127
C2016-18.csv,1 -> 50,4.21111111111337,9.654083569977232,0
-----,------,------,------,------
Sheet21.csv,tat ca,4.577777778,6.317994472353621,61.98555764946043
Sheet21.csv,25,4.577777778,7.137740472239422,44.07848483729037
Sheet21.csv,1 -> 25,4.577777778,7.945606401539873,26.430928130127473
Sheet21.csv,50,4.577777778,7.641281665614333,33.07879857478015
Sheet21.csv,1 -> 50,4.577777778,7.541673436889647,35.25470648370892
-----,------,------,------,------
C2013-09.csv,tat ca,18.1791666666667,15.324916767902428,84.29933587661186
C2013-09.csv,25,18.1791666666667,14.486740954653893,79.6886965188386
C2013-09.csv,1 -> 25,18.1791666666667,10.622900651835234,58.43447527940526
C2013-09.csv,50,18.1791666666667,15.79276297808959,86.87286533902119
C2013-09.csv,1 -> 50,18.1791666666667,13.04201018452936,71.74151831966631
-----,------,------,------,------
Sheet19.csv,tat ca,13.444444440000003,14.098287593918476,95.13670381222184
Sheet19.csv,25,13.444444440000003,13.032577655204326,96.9365280459616
Sheet19.csv,1 -> 25,13.444444440000003,10.293890155118282,76.56612514602558
Sheet19.csv,50,13.444444440000003,15.509750192422866,84.63822167111532
Sheet19.csv,1 -> 50,13.444444440000003,12.358154704583011,91.92015899009516
-----,------,------,------,------
C2013-10.csv,tat ca,38.712500000000006,38.53977299211454,99.5538210968409
C2013-10.csv,25,38.712500000000006,37.05173476921752,95.7100026327866
C2013-10.csv,1 -> 25,38.712500000000006,35.94351310027427,92.8473053930236
C2013-10.csv,50,38.712500000000006,36.2835718552258,93.7257264584457
C2013-10.csv,1 -> 50,38.712500000000006,36.37426289303558,93.95999455740541
-----,------,------,------,------
C2013-08.csv,tat ca,14.134722222223397,16.492525864328037,83.31906630327994
C2013-08.csv,25,14.134722222223397,18.212268823316634,71.15226930542511
C2013-08.csv,1 -> 25,14.134722222223397,20.1081960453933,57.73900803103103
C2013-08.csv,50,14.134722222223397,15.04304621472723,93.57381080276403
C2013-08.csv,1 -> 50,14.134722222223397,18.23263475338844,71.00818490283399
-----,------,------,------,------
C2015-06.csv,tat ca,13.6791666666667,11.634321139900567,85.05138816863021
C2015-06.csv,25,13.6791666666667,11.73737887496976,85.80478007897459
C2015-06.csv,1 -> 25,13.6791666666667,10.65111363400334,77.86376095524811
C2015-06.csv,50,13.6791666666667,10.206196715441251,74.61124616831844
C2015-06.csv,1 -> 50,13.6791666666667,11.014177790701456,80.51790038892304
-----,------,------,------,------
C2015-02.csv,tat ca,23.345833333333303,22.094945668749162,94.64192326431922
C2015-02.csv,25,23.345833333333303,21.120095342897937,90.46623027477266
C2015-02.csv,1 -> 25,23.345833333333303,16.084487772860687,68.89661012826289
C2015-02.csv,50,23.345833333333303,23.713020662850667,98.4271825971057
C2015-02.csv,1 -> 50,23.345833333333303,19.26538326824096,82.52172022805348
-----,------,------,------,------
C2016-10.csv,tat ca,17.5805555555533,11.680130296415133,66.43777700600391
C2016-10.csv,25,17.5805555555533,9.154377464848896,52.07103629872057
C2016-10.csv,1 -> 25,17.5805555555533,6.998229906843827,39.806648229800935
C2016-10.csv,50,17.5805555555533,10.156018104500962,57.76847081088348
C2016-10.csv,1 -> 50,17.5805555555533,8.224443157175461,46.78147474456543
-----,------,------,------,------
C2016-27.csv,tat ca,4.04583333333333,6.585559754898556,37.22612346285739
C2016-27.csv,25,4.04583333333333,7.520165228645116,14.125679209595333
C2016-27.csv,1 -> 25,4.04583333333333,9.27974987470757,0
C2016-27.csv,50,4.04583333333333,5.7592549423932695,57.649723360001445
C2016-27.csv,1 -> 50,4.04583333333333,8.399957551676343,0
-----,------,------,------,------
C2015-17.csv,tat ca,11.0861111111134,14.947692373574629,65.16739527722987
C2015-17.csv,25,11.0861111111134,19.655888575659706,22.698073484439163
C2015-17.csv,1 -> 25,11.0861111111134,15.920689376857737,56.39067462621894
C2015-17.csv,50,11.0861111111134,15.919253793547174,56.40362401213231
C2015-17.csv,1 -> 50,11.0861111111134,17.78828897625872,39.544374055329065
-----,------,------,------,------
C2016-06.csv,tat ca,14.0,14.366543954876283,97.38182889374085
C2016-06.csv,25,14.0,16.491604044102452,82.20282825641105
C2016-06.csv,1 -> 25,14.0,13.281666763469902,94.86904831049931
C2016-06.csv,50,14.0,15.705031777269019,87.82120159093559
C2016-06.csv,1 -> 50,14.0,14.661239520473941,95.27686056804328
-----,------,------,------,------
C2013-15.csv,tat ca,5.51388888889002,6.24415621249702,86.75585710335183
C2013-15.csv,25,5.51388888889002,9.045739951010297,35.94627796659753
C2013-15.csv,1 -> 25,5.51388888889002,9.233506151147772,32.54094637720323
C2013-15.csv,50,5.51388888889002,3.182895602434705,57.72505878469818
C2013-15.csv,1 -> 50,5.51388888889002,8.293900927909467,49.581645639959916
-----,------,------,------,------
C2015-03.csv,tat ca,12.9125,14.196181211075803,90.05861598392407
C2015-03.csv,25,12.9125,15.649246467999818,78.80544845692299
C2015-03.csv,1 -> 25,12.9125,14.310344870504107,89.17448309386945
C2015-03.csv,50,12.9125,14.89458551733314,84.64987014650038
C2015-03.csv,1 -> 50,12.9125,14.652484757870221,86.52480342404475
-----,------,------,------,------
data_18.csv,tat ca,9.033333333,8.449896505724444,93.54128973471862
data_18.csv,25,9.033333333,8.739233972233983,96.74428751907524
data_18.csv,1 -> 25,9.033333333,9.509252118655565,94.73152635786207
data_18.csv,50,9.033333333,8.594918237396499,95.14669635845374
data_18.csv,1 -> 50,9.033333333,9.1131496410798,99.11642463377034
-----,------,------,------,------
C2015-23.csv,tat ca,5.6,9.447375639760358,31.29686357570789
C2015-23.csv,25,5.6,12.48300950522582,0
C2015-23.csv,1 -> 25,5.6,14.803164609835664,0
C2015-23.csv,50,5.6,5.28355754028378,94.3492417907818
C2015-23.csv,1 -> 50,5.6,13.643087057530742,0
-----,------,------,------,------
C2019-6.csv,tat ca,23.0,20.445944795978768,88.89541215642942
C2019-6.csv,25,23.0,21.25013493968983,92.39189104212969
C2019-6.csv,1 -> 25,23.0,12.71784630165341,55.29498392023222
C2019-6.csv,50,23.0,20.53310669182089,89.27437692096039
C2019-6.csv,1 -> 50,23.0,18.618532521970767,80.9501413998729
-----,------,------,------,------
C2015-16.csv,tat ca,12.6,18.84945735986268,50.4011320645819
C2015-16.csv,25,12.6,25.08724699289506,0.8948651357534754
C2015-16.csv,1 -> 25,12.6,18.345018978819347,54.40461127921152
C2015-16.csv,50,12.6,19.27200228848761,47.04760088501897
C2015-16.csv,1 -> 50,12.6,22.27209781243647,23.237318948916897
-----,------,------,------,------
C2016-25.csv,tat ca,4.2125,8.017346551068172,9.677233209064173
C2016-25.csv,25,4.2125,9.572915279519183,0
C2016-25.csv,1 -> 25,4.2125,10.59035525266928,0
C2016-25.csv,50,4.2125,7.953583962394962,11.19088516569825
C2016-25.csv,1 -> 50,4.2125,10.081635266094231,0
-----,------,------,------,------
C2016-32.csv,tat ca,4.47916666666667,7.890413921841393,23.841921744936457
C2016-32.csv,25,4.47916666666667,9.078738779129544,0
C2016-32.csv,1 -> 25,4.47916666666667,8.963746504897703,0
C2016-32.csv,50,4.47916666666667,9.301969870100024,0
C2016-32.csv,1 -> 50,4.47916666666667,9.021242642013624,0
-----,------,------,------,------
